ke, gpe, t
0.001570, 0.142341, 0.000000
0.001575, 0.142341, 1.000000
0.001581, 0.142340, 2.000000
0.001580, 0.142340, 3.000000
0.001572, 0.142340, 4.000000
0.001568, 0.142341, 5.000000
0.001574, 0.142340, 6.000000
0.001580, 0.142340, 7.000000
0.001578, 0.142340, 8.000000
0.001569, 0.142340, 9.000000
0.001568, 0.142340, 10.000000
0.001575, 0.142340, 11.000000
0.001580, 0.142340, 12.000000
0.001576, 0.142340, 13.000000
0.001570, 0.142340, 14.000000
0.001569, 0.142340, 15.000000
0.001576, 0.142340, 16.000000
0.001580, 0.142339, 17.000000
0.001574, 0.142340, 18.000000
0.001567, 0.142340, 19.000000
0.001569, 0.142340, 20.000000
0.001576, 0.142339, 21.000000
0.001576, 0.142339, 22.000000
0.001568, 0.142339, 23.000000
0.001563, 0.142340, 24.000000
0.001566, 0.142339, 25.000000
0.001572, 0.142339, 26.000000
0.001569, 0.142339, 27.000000
0.001560, 0.142339, 28.000000
0.001555, 0.142339, 29.000000
0.001558, 0.142339, 30.000000
0.001562, 0.142339, 31.000000
0.001557, 0.142339, 32.000000
0.001548, 0.142339, 33.000000
0.001544, 0.142339, 34.000000
0.001546, 0.142339, 35.000000
0.001550, 0.142338, 36.000000
0.001545, 0.142338, 37.000000
0.001537, 0.142339, 38.000000
0.001533, 0.142339, 39.000000
0.001535, 0.142338, 40.000000
0.001537, 0.142338, 41.000000
0.001533, 0.142338, 42.000000
0.001527, 0.142338, 43.000000
0.001523, 0.142338, 44.000000
0.001523, 0.142338, 45.000000
0.001526, 0.142337, 46.000000
0.001522, 0.142337, 47.000000
0.001514, 0.142338, 48.000000
0.001512, 0.142338, 49.000000
0.001513, 0.142337, 50.000000
0.001518, 0.142337, 51.000000
0.001512, 0.142337, 52.000000
0.001503, 0.142337, 53.000000
0.001501, 0.142337, 54.000000
0.001503, 0.142336, 55.000000
0.001508, 0.142336, 56.000000
0.001505, 0.142336, 57.000000
0.001494, 0.142336, 58.000000
0.001490, 0.142336, 59.000000
0.001495, 0.142336, 60.000000
0.001499, 0.142335, 61.000000
0.001494, 0.142335, 62.000000
0.001484, 0.142336, 63.000000
0.001481, 0.142336, 64.000000
0.001486, 0.142335, 65.000000
0.001489, 0.142335, 66.000000
0.001483, 0.142335, 67.000000
0.001474, 0.142335, 68.000000
0.001473, 0.142335, 69.000000
0.001478, 0.142335, 70.000000
0.001480, 0.142334, 71.000000
0.001472, 0.142334, 72.000000
0.001461, 0.142335, 73.000000
0.001461, 0.142335, 74.000000
0.001467, 0.142334, 75.000000
0.001467, 0.142334, 76.000000
0.001458, 0.142334, 77.000000
0.001450, 0.142334, 78.000000
0.001451, 0.142334, 79.000000
0.001456, 0.142334, 80.000000
0.001456, 0.142334, 81.000000
0.001448, 0.142334, 82.000000
0.001439, 0.142334, 83.000000
0.001438, 0.142334, 84.000000
0.001445, 0.142333, 85.000000
0.001447, 0.142333, 86.000000
0.001435, 0.142334, 87.000000
0.001428, 0.142334, 88.000000
0.001430, 0.142333, 89.000000
0.001438, 0.142333, 90.000000
0.001436, 0.142333, 91.000000
0.001420, 0.142333, 92.000000
0.001417, 0.142333, 93.000000
0.001424, 0.142332, 94.000000
0.001429, 0.142332, 95.000000
0.001423, 0.142332, 96.000000
0.001407, 0.142332, 97.000000
0.001407, 0.142332, 98.000000
0.001419, 0.142332, 99.000000
0.001425, 0.142331, 100.000000
